,hpoID,class,content,language,id,system,count
0,HP:0000708,exactSynonym,behavioral abnormality,en,57516,,1
1,HP:0000708,exactSynonym,behavioral changes,en,57517,,1
2,HP:0000708,exactSynonym,behavioral disorders,en,57518,,1
3,HP:0000708,exactSynonym,behavioral disturbances,en,57519,,1
4,HP:0000708,exactSynonym,behavioral problems,en,57520,,1
5,HP:0000708,exactSynonym,behavioral symptoms,en,57521,,1
6,HP:0000708,exactSynonym,behavioral/psychiatric abnormalities,en,57522,,1
7,HP:0000708,exactSynonym,behavioural abnormality,en,57523,,1
8,HP:0000708,exactSynonym,behavioural changes,en,57524,,1
9,HP:0000708,exactSynonym,behavioural disorders,en,57525,,1
10,HP:0000708,exactSynonym,behavioural disturbances,en,57526,,1
11,HP:0000708,exactSynonym,behavioural problems,en,57527,,1
12,HP:0000708,exactSynonym,behavioural symptoms,en,57528,,1
13,HP:0000708,exactSynonym,behavioural/psychiatric abnormality,en,57529,,1
14,HP:0000708,exactSynonym,behavioural/psychiatric abnormality,en,57530,,1
15,HP:0000708,exactSynonym,psychiatric disorders,en,57531,,1
16,HP:0000708,exactSynonym,psychiatric disturbances,en,57532,,1
17,HP:0000708,label,atypical behavior,en,57534,,1
18,HP:0008069,exactSynonym,dermatological tumors,en,62090,,1
19,HP:0008069,exactSynonym,dermatological tumours,en,62091,,1
20,HP:0008069,exactSynonym,skin tumors,en,62092,,1
21,HP:0008069,exactSynonym,skin tumours,en,62093,,1
22,HP:0008069,exactSynonym,tumor of the skin,en,62094,,1
23,HP:0008069,exactSynonym,tumour of the skin,en,62095,,1
24,HP:0008069,label,neoplasm of the skin,en,62098,,1
25,HP:0001756,exactSynonym,vestibular deficiency,en,69983,,1
26,HP:0001756,exactSynonym,vestibular dysfunction,en,69984,,1
27,HP:0001756,exactSynonym,vestibular failure,en,69985,,1
28,HP:0001756,exactSynonym,vestibular hypofunction,en,69986,,1
29,HP:0001756,exactSynonym,vestibular hyporeflexia,en,69987,,1
30,HP:0001756,exactSynonym,vestibular loss,en,69988,,1
31,HP:0001756,exactSynonym,vestibulopathy,en,69989,,1
32,HP:0001756,label,vestibular hyporeflexia,en,69990,,1
33,HP:0009778,exactSynonym,hypoplastic thumb,en,70328,,1
34,HP:0009778,exactSynonym,hypoplastic thumbs,en,70329,,1
35,HP:0009778,exactSynonym,hypoplastic/small thumb,en,70330,,1
36,HP:0009778,exactSynonym,short thumb,en,70331,,1
37,HP:0009778,exactSynonym,short thumbs,en,70332,,1
38,HP:0009778,exactSynonym,small thumbs,en,70333,,1
39,HP:0009778,exactSynonym,thumb brachydactyly,en,70334,,1
40,HP:0009778,exactSynonym,thumb hypoplasia,en,70335,,1
41,HP:0009778,label,short thumb,en,70336,,1
42,HP:0003189,exactSynonym,elongated nose,en,84341,,1
43,HP:0003189,exactSynonym,increased height of nose,en,84342,,1
44,HP:0003189,exactSynonym,increased length of nose,en,84343,,1
45,HP:0003189,exactSynonym,increased nasal height,en,84344,,1
46,HP:0003189,exactSynonym,increased nasal length,en,84345,,1
47,HP:0003189,exactSynonym,long nose,en,84346,,1
48,HP:0003189,exactSynonym,nasal elongation,en,84347,,1
49,HP:0003189,label,long nose,en,84348,,1
